id,xcoord,ycoord,floor,building,nodeType,longName,shortName
52,1645,1280,3,Tower,SERV,75 Lobby Valet Cashier,Valet Cashier
53,2026,892,3,Tower,STAI,Lobby Shattuck Street Stairs,Stairway F00101
54,1673,802,3,Tower,STAI,Tower Stairway 1,Tower Stairs 1
55,1947,1239,3,Tower,STAI,Lobby Escalator,Lobby Escalator
56,1810,930,3,Tower,ELEV,Elevator L Floor 1,Elevator L1
57,1810,1280,3,Tower,ELEV,Elevator M Floor 1,Elevator M1
58,1605,1008,4,Tower,BATH,Bathroom 1 Tower Floor 2,Bathroom 0102
59,2055,1330,4,Tower,DEPT,Endoscopy,Endoscopy
60,1875,925,4,Tower,HALL,Hallway Connector 1 Floor 2,Hallway H00102
61,1955,900,4,Tower,HALL,Hallway Connector 2 Floor 2,Hallway H00202
62,2035,900,4,Tower,HALL,Hallway Connector 3 Floor 2,Hallway H00302
63,1875,1025,4,Tower,HALL,Hallway Connector 4 Floor 2,Hallway H00402
64,1825,1025,4,Tower,HALL,Hallway Connector 5 Floor 2,Hallway H00502
65,1775,1080,4,Tower,HALL,Hallway Connector 6 Floor 2,Hallway H00602
66,1740,1165,4,Tower,HALL,Hallway Connector 7 Floor 2,Hallway H00702
67,1740,1230,4,Tower,HALL,Hallway Connector 8 Floor 2,Hallway H00802
68,1740,1280,4,Tower,HALL,Hallway Connector 9 Floor 2,Hallway H00902
69,2055,1280,4,Tower,HALL,Hallway Connector 10 Floor 2,Hallway H01002
70,1935,860,4,Tower,RETL,Garden Cafe,Garden Cafe
71,1615,1025,4,Tower,RETL,Vending Machine Floor 2,Vending Machine
72,1825,1080,4,Tower,RETL,Gift Shop Tower Floor 2,Gift Shop
73,2060,880,4,Tower,STAI,Stairwell 1 Floor 2,Stairwell 0102
74,1695,1165,4,Tower,STAI,Stairwell 2 Tower Floor 2,Stairwell 0202
75,1790,1230,4,Tower,STAI,Escalator 1 Floor 2,Escalator 1 Floor 2
76,1805,925,4,Tower,ELEV,Elevator L Floor 2,Elevator L2
77,1825,1280,4,Tower,ELEV,Elevator M Floor 2,Elevator M2
78,1740,1500,4,Tower,HALL,Hallway Connector 7 Floor 2,Hallway W0702
79,1785,830,5,Tower,BATH,Bathroom 1 Tower Floor 3,Bathroom 0103
80,1750,985,5,Tower,BATH,Bathroom 2 Tower Floor 3,Bathroom 0203
81,1725,900,5,Tower,DEPT,Dialysis Waiting Room,Dialysis WR
82,1690,830,5,Tower,DEPT,MICU 3BC Waiting Room,MICU 3BC WR
83,1325,655,5,Tower,HALL,Hallway Connector 1 Floor 3,Hallway H00103
84,1235,985,5,Tower,HALL,Hallway Connector 2 Floor 3,Hallway H00203
85,1325,985,5,Tower,HALL,Hallway Connector 3 Floor 3,Hallway H00303
86,1325,1290,5,Tower,HALL,Hallway Connector 4 Floor 3,Hallway H00403
87,1680,1290,5,Tower,HALL,Hallway Connector 5 Floor 3,Hallway H00502
88,1735,925,5,Tower,HALL,Hallway Connector 6 Floor 3,Hallway H00603
89,1735,900,5,Tower,HALL,Hallway Connector 7 Floor 3,Hallway H00703
90,1735,865,5,Tower,HALL,Hallway Connector 8 Floor 3,Hallway H00803
91,1735,820,5,Tower,HALL,Hallway Connector 9 Floor 3,Hallway H00903
92,1785,820,5,Tower,HALL,Hallway Connector 10 Floor 3,Hallway H01003
93,1690,820,5,Tower,HALL,Hallway Connector 11 Floor 3,Hallway H01103
94,1600,820,5,Tower,HALL,Hallway Connector 12 Floor 3,Hallway H01203
95,1600,1030,5,Tower,HALL,Hallway Connector 13 Floor 3,Hallway H01303
96,1735,1030,5,Tower,HALL,Hallway Connector 14 Floor 3,Hallway H01403
97,1735,985,5,Tower,HALL,Hallway Connector 15 Floor 3,Hallway H01503
98,1235,865,5,Tower,LABS,Reproductive Endocrine Labs,Reproductive Endocrine Labs
99,1750,865,5,Tower,SERV,Nursing Room,Nursing Room
100,1680,1275,5,Tower,STAI,Stairwell 1 Floor 3,Stairwell
101,1790,925,5,Tower,ELEV,Elevator L Floor 3,Elevator L3
102,1815,1290,5,Tower,ELEV,Elevator M Floor 3,Elevator M3
103,1980,844,1,Tower,DEPT,Day Surgery Family Waiting Floor L1,Department C002L1
104,1845,844,1,Tower,DEPT,Day Surgery Family Waiting Exit Floor L1,Department C003L1
105,1732,924,1,Tower,HALL,Hallway 1 Floor L1,Hallway C001L1
106,1750,1284,1,Tower,HALL,Hallway 5 Floor L1,Hallway C005L1
107,2130,1284,1,Tower,HALL,Hallway 6 Floor L1,Hallway C006L1
108,2130,1045,1,Tower,HALL,Hallway 7 Floor L1,Hallway C007L1
109,1845,924,1,Tower,HALL,Hallway 14 Floor L1,Hallway C014L1
110,1965,1284,1,Tower,LABS,Outpatient Fluoroscopy Floor L1,Lab C001L1
111,1750,1090,1,Tower,LABS,Pre-Op PACU Floor L1,Lab C002L1
112,1732,1019,1,Tower,REST,Restroom L Elevator Floor L1,Restroom C001L1
113,2065,1284,1,Tower,REST,Restroom M Elevator Floor L1,Restroom C002L1
114,1785,924,1,Tower,ELEV,Elevator L Floor L1,Elevator LL1
115,1820,1284,1,Tower,ELEV,Elevator M Floor L1,Elevator ML1
116,1745,1280,0,Tower,HALL,Hallway 5 Floor L2,Hallway C005L2
117,1745,1009,0,Tower,HALL,Hallway 6 Floor L2,Hallway C006L2
118,1730,1009,0,Tower,HALL,Hallway 7 Floor L2,Hallway C007L2
119,1730,924,0,Tower,HALL,Hallway 8 Floor L2,Hallway C008L2
120,1730,849,0,Tower,HALL,Hallway 9 Floor L2,Hallway C009L2
121,2130,849,0,Tower,HALL,Hallway 10 Floor L2,Hallway C010L2
122,1785,924,0,Tower,ELEV,Elevator L Floor L2,Elevator LL2
123,1820,1280,0,Tower,ELEV,Elevator M Floor L2,Elevator ML2
124,1745,1524,0,Tower,HALL,Hallway Connector 1 Floor L2,Hallway W01L2
125,1512,929,3,Tower,STOR,West Plaza,0
126,1525,1085,5,Tower,STOR,In-Patient Storage Unit 1 Floor 3,0
127,1525,776,5,Tower,STOR,In-Patient Storage Unit 2 Floor 3,0
128,1681,810,5,Tower,STOR,Bed Park 1 Floor 3,0
129,1681,1042,5,Tower,STOR,Bed Park 2 Floor 3,0
130,1504,1064,5,Tower,STOR,Clean Infusion Pumps 1 Floor 3,0
131,1513,785,5,Tower,STOR,Clean Infusion Pumps 2 Floor 3,0
132,1533,928,5,Tower,DIRT,Dirty Infusion Pumps Floor 3,0
133,1634,756,5,Tower,PATI,Patient Room 1 Floor 3,0
134,1606,703,5,Tower,PATI,Patient Room 2 Floor 3,0
135,1565,679,5,Tower,PATI,Patient Room 3 Floor 3,0
136,1512,678,5,Tower,PATI,Patient Room 4 Floor 3,0
137,1480,691,5,Tower,PATI,Patient Room 5 Floor 3,0
138,1443,726,5,Tower,PATI,Patient Room 6 Floor 3,0
139,1432,756,5,Tower,PATI,Patient Room 7 Floor 3,0
140,1437,809,5,Tower,PATI,Patient Room 8 Floor 3,0
141,1456,843,5,Tower,PATI,Patient Room 9 Floor 3,0
142,1510,872,5,Tower,PATI,Patient Room 10 Floor 3,0
143,1511,983,5,Tower,PATI,Patient Room 11 Floor 3,0
144,1464,1014,5,Tower,PATI,Patient Room 12 Floor 3,0
145,1439,1045,5,Tower,PATI,Patient Room 13 Floor 3,0
146,1434,1097,5,Tower,PATI,Patient Room 14 Floor 3,0
147,1443,1125,5,Tower,PATI,Patient Room 15 Floor 3,0
148,1479,1165,5,Tower,PATI,Patient Room 16 Floor 3,0
149,1505,1176,5,Tower,PATI,Patient Room 17 Floor 3,0
150,1562,1170,5,Tower,PATI,Patient Room 18 Floor 3,0
151,1598,1149,5,Tower,PATI,Patient Room 19 Floor 3,0
152,1630,1100,5,Tower,PATI,Patient Room 20 Floor 3,0
153,1670,849,1,Tower,STOR,OR Bed Park,0
